獎項名稱,獎項內容,獎項數量
董事長獎,20000元,1
總經理獎,20000元,1
財務執行副總獎,10000元,1
業務執行副總獎,10000元,1
技術執行副總獎,10000元,1
行政執行副總獎,10000元,1
個家分公司總經理獎,10000元,1
企客分公司總經理獎,10000元,1
國際分公司總經理獎,10000元,1
網路分公司總經理獎,10000元,1
資訊分公司總經理獎,10000元,1
電信研究院院長獎,10000元,1
新北營運處總經理獎,6000元,1
中華電信學院院長獎,10000元,1
中華電信學院副院長獎,8000元,2
台中所所長獎,3000元,1
高雄所所長獎,3000元,1
工會理事長獎,8000元,1
工會勞工董長獎,6000元,1
工會監事召集人獎,6000元,1
分會理事長獎,8000元,1
分會監事召集人獎,8000元,1
工會新北市分會獎,8000元,3
職福會分會主任委員獎,8000元,1
職福會新北市分會獎,8000元,3
職福會主任委員獎,8000元,1
電信學院福利分會獎,3000元,5
中華系整獎,10000元,1
中華黃頁獎,6000元,1
中華資安獎,10000元,1
中華精測獎,6000元,1
光世代建設開發獎,6000元,1
宏華國際獎,10000元,1
是方電訊獎,6000元,1
春水堂獎,5000元,2
神腦國際手機獎,三星Galaxy A55 手機,1
神腦國際吹風機獎,戴森Supersonic HD028 吹風機,1
智趣王獎,5000元,1
資拓宏宇獎,10000元,1
瑋柏科技獎,10000元,1
