獎項名稱,獎項內容,獎項數量
業務執行副總獎,10000元,1
財務執行副總獎,10000元,1
行政執行副總獎,10000元,1
技術執行副總獎,10000元,1
個家分公司總經理獎,10000元,1
企客分公司總經理獎,10000元,1
資訊分公司總經理獎,10000元,1
國際分公司總經理獎,10000元,1
新北營運處總經理獎,6000元,1
工會理事長獎,6000元,1
工會監事召集人獎,3000元,1
工會新北市分會理事長獎,8000元,1
職福會新北市分會獎,8000元,1
工會新北市分會獎1,5000元,1
工會新北市分會獎2,5000元,1
工會新北市分會獎3,5000元,1
工會新北市分會獎4,5000元,1
工會新北市分會獎5,5000元,1
工會新北市分會獎6,5000元,1
工會新北市分會獎7,5000元,1
工會新北市分會獎8,5000元,1
工會新北市分會監事召集人獎,8000元,1
職福會電信學院福利分會獎1,3000元,1
職福會電信學院福利分會獎2,3000元,1
職福會電信學院福利分會獎3,3000元,1
職福會電信學院福利分會獎4,3000元,1
職福會電信學院福利分會獎5,3000元,1
職福會電信學院福利分會獎6,3000元,1
董事長獎,20000元,1
總經理獎,20000元,1
中華精測獎,大全聯禮券6000元,1
宏華國際獎,10000元,1
智趣王獎1,5000元,1
智趣王獎2,5000元,1
春水堂獎1,5000元,1
春水堂獎2,5000元,1
瑋柏科技獎,8000元,1
電信學院邱副院長獎,8000元,1
台中所所長獎,3000元,1
高雄所所長獎,3000元,1
資拓宏宇獎,10000元,1
中華資安獎,10000元,1
電信學院呂副院長獎,8000元,1
光世代獎,6000元,1
中華系整獎,10000元,1
中華黃頁獎,6000元,1
是方電訊獎,郵政禮券6000元,1
網路分公司總經理獎,10000元,1
電信研究院院長獎,10000元,1
學院院長獎,10000元,1
