獎項名稱,獎項內容,獎項數量
董事長獎,現金2萬元,1
總經理獎,現金1萬元,2
行政執行副總獎,現金1萬元,1
業務執行副總獎,現金1萬元,1
技術執行副總獎,現金1萬元,1
財務執行副總獎,現金1萬元,1
策略長獎,現金8000元,1
營運長獎,現金8000元,1
人資長獎,現金6000元,1
法務長獎,現金6000元,1
稽核長獎,現金6000元,1
資訊長獎,現金6000元,1
資安長獎,現金6000元,1
行銷長獎,現金6000元,1
客服長獎,現金6000元,1
研發長獎,現金6000元,1
採購長獎,現金6000元,1
總務長獎,現金6000元,1
公共事務長獎,現金6000元,1
專案管理長獎,現金6000元,1
營運一部處長獎,現金5000元,1
營運二部處長獎,現金5000元,1
營運三部處長獎,現金5000元,1
業務一部處長獎,現金5000元,1
業務二部處長獎,現金5000元,1
業務三部處長獎,現金5000元,1
技術一部處長獎,現金5000元,1
技術二部處長獎,現金5000元,1
技術三部處長獎,現金5000元,1
財務部處長獎,現金5000元,1
會計部處長獎,現金5000元,1
審計部處長獎,現金5000元,1
法務部處長獎,現金5000元,1
人資部處長獎,現金5000元,1
行政部處長獎,現金5000元,1
行銷部處長獎,現金5000元,1
客服部處長獎,現金5000元,1
研發部處長獎,現金5000元,1
採購部處長獎,現金5000元,1
總務部處長獎,現金5000元,1
資訊部處長獎,現金5000元,1
資安部處長獎,現金5000元,1
公共事務部處長獎,現金5000元,1
PMO處長獎,現金5000元,1
金獎,禮券3000元,3
銀獎,禮券2000元,5
銅獎,禮券1000元,10
特別獎,精美禮盒,2
